區塊,欄位,類型,DB / API 來源,值 / 規則,備註
④ 指派篩選,所有對話,option,無 assigneeId 限制,不帶 assigneeId param，顯示所有對話,Supervisor / Admin 專用，Agent 角色不顯示此選項
⑤ 標籤篩選,區塊標題,string,前端固定文案,「聯繫人標籤」,
⑤ 標籤篩選,標籤列表,array,GET /tags?scope=CONTACT,以 Chip 形式顯示所有 CONTACT 範圍的標籤,來自 tags table，scope = CONTACT
⑤ 標籤篩選,已選取標籤,array,前端狀態,點擊 Chip 後高亮選取；可多選,Query param: tag=標籤名（可重複）
⑤ 標籤篩選,標籤搜尋,string,前端過濾,標籤數量超過 10 個時顯示搜尋框，前端過濾不打 API,
⑤ 標籤篩選,多標籤邏輯,enum,前端固定,預設 OR 邏輯（符合任一標籤即顯示）,暫不支援 AND 邏輯
⑥ 時間範圍篩選,區塊標題,string,前端固定文案,「時間範圍」,依 conversation.lastMessageAt 過濾
⑥ 時間範圍篩選,起始時間下拉,enum,前端固定選項,今天 / 最近 3 天 / 最近 7 天 / 最近 30 天 / 自訂,選「自訂」後顯示日期選擇器
⑥ 時間範圍篩選,結束時間,enum,前端固定,預設「至今」；選「自訂」後可選擇截止日,
⑥ 時間範圍篩選,日期選擇器,date,前端元件,自訂模式下顯示日期輸入框；格式 YYYY-MM-DD,Query param: after= / before=（ISO 8601）
⑦ 排序方式,區塊標題,string,前端固定文案,「排序方式」,
⑦ 排序方式,排序下拉選單,enum,Query param: sortBy + sortOrder,最後訊息時間（新→舊）/ 最後訊息時間（舊→新）/ 建立時間（新→舊）/ 未讀數量（多→少）,預設：最後訊息時間（新→舊）
⑧ 操作按鈕,清除全部按鈕,action,前端事件,重置所有篩選條件為預設值；不關閉抽屜,
⑧ 操作按鈕,套用篩選按鈕,action,前端事件 + GET /conversations,將所有勾選條件組合為 Query params 後重新呼叫列表 API；關閉抽屜,套用後列表重新載入
⑧ 操作按鈕,套用後 Chip 更新,array,前端狀態,Active 篩選 Chip 依套用結果更新；移除 Chip 即移除對應條件並重新查詢,
⑧ 操作按鈕,符合數量預覽,integer,前端即時計算 / GET /conversations?count=true,顯示「符合：N 個對話」；條件改變時即時更新,可 debounce 500ms 後呼叫 count API
⑨ 常用篩選儲存,另存為常用,action,POST /agents/me/saved-filters,將目前篩選條件組合命名後儲存；名稱由客服自訂,每個 Agent 最多儲存 10 組
⑨ 常用篩選儲存,常用篩選列表,array,GET /agents/me/saved-filters,顯示該 Agent 已儲存的篩選組合；點擊後直接套用,儲存於 agent 個人設定，不跨 Agent 共享
⑨ 常用篩選儲存,刪除常用篩選,action,DELETE /agents/me/saved-filters/:id,點擊常用篩選旁「×」刪除,
⑩ API 端點,取得對話列表（含篩選）,GET,GET /conversations,支援 status / channelType / assigneeId / tag / after / before / sortBy / sortOrder / page / limit,主要查詢 API
⑩ API 端點,取得對話數量,GET,GET /conversations?count=true,僅回傳符合條件的數量；用於預覽符合筆數,條件改變時 debounce 呼叫
⑩ API 端點,取得標籤列表,GET,GET /tags?scope=CONTACT,用於標籤篩選 Chip 顯示,面板開啟時呼叫一次，快取於前端
⑩ API 端點,取得客服列表,GET,GET /agents?isActive=true,用於指派篩選下拉選單,面板開啟時呼叫一次
⑩ API 端點,儲存常用篩選,POST,POST /agents/me/saved-filters,"body: { name, filters: { status[], channelType[], assigneeId, tag[], sortBy, sortOrder } }",
⑩ API 端點,取得常用篩選,GET,GET /agents/me/saved-filters,回傳該 Agent 的常用篩選列表,面板開啟時呼叫
⑩ API 端點,刪除常用篩選,DELETE,DELETE /agents/me/saved-filters/:id,,
