區塊,欄位,類型,DB / API 來源,值 / 規則,備註
④ 指派客服,指派策略說明,enum,channel.settings.assignStrategy,顯示目前渠道的指派策略名稱，如「最少負荷」,來自 channels.settings JSONB
④ 指派客服,未指派選項,option,—,可選擇「不指派，等待客服主動接取」,此時 assignedToId 為 null
⑤ 銜接訊息,區塊標題,string,前端固定文案,「銜接訊息（將發送給客戶）」,
⑤ 銜接訊息,銜接訊息內容,string,channel.settings.handoffMessage,可編輯文字框；預設值來自渠道設定,預設：「稍等，正在為您轉接客服人員，平均等待時間約 3 分鐘」
⑤ 銜接訊息,訊息可編輯,boolean,前端狀態,本次可臨時修改訊息內容，不影響渠道設定的預設值,修改僅套用本次升人工
⑤ 銜接訊息,字數上限,integer,前端限制,最多 200 字,超出限制時禁止繼續輸入
⑤ 銜接訊息,訊息發送渠道,string,conversation.channelType,銜接訊息依對話渠道格式發送（LINE 文字 / FB 文字 / WebChat 文字）,不支援 Flex 格式
⑥ 操作按鈕,取消按鈕,action,前端事件,關閉 Modal，不執行任何 API；對話維持 BOT_HANDLED,
⑥ 操作按鈕,確認接管按鈕,action,PATCH /conversations/:id/handoff,文字「確認接管，發送銜接訊息」；點擊後按鈕進入 loading 狀態,
⑥ 操作按鈕,確認接管 — 請求 body,JSON,PATCH /conversations/:id/handoff,"{ assignTo: agentId | null, handoffMessage: string }",
⑥ 操作按鈕,確認接管 — 成功行為,action,前端狀態,關閉 Modal；conversation.status 切換為 AGENT_HANDLED；輸入框解鎖；頂部 Banner 消失,WS 推播 conversation.updated 觸發前端更新
⑥ 操作按鈕,確認接管 — 失敗行為,action,前端狀態,顯示錯誤 Toast「接管失敗，請稍後再試」；Modal 保持開啟,
⑦ 升人工後系統行為,發送銜接訊息,action,Core Inbox API,系統自動發送 handoffMessage 給客戶；sender_type = SYSTEM,
⑦ 升人工後系統行為,對話狀態切換,enum,conversation.status,BOT_HANDLED → AGENT_HANDLED,
⑦ 升人工後系統行為,Bot 停止回覆,rule,conversation.status,status 非 BOT_HANDLED 時 Bot Service 不再處理此對話,
⑦ 升人工後系統行為,通知被指派客服,action,Notification Service,推送通知給 assignedToId 的客服：「有新對話需要處理」,依 agent 的通知設定決定通知方式
⑦ 升人工後系統行為,記錄升人工原因,string,conversations.handoff_reason,寫入「manual_takeover」（客服主動）或其他自動觸發原因,
⑦ 升人工後系統行為,記錄 Bot 回覆次數,integer,conversations.bot_replies_count,升人工時凍結此欄位值，供後續報表統計使用,
⑦ 升人工後系統行為,WS 推播,WS,conversation.updated 事件,推送至所有訂閱該對話的客服端；前端收到後刷新畫面狀態,
⑧ API 端點,取得 Bot 訊息列表,GET,GET /conversations/:id/messages?senderType=BOT,取得本對話所有 Bot 回覆記錄；Modal 開啟時呼叫,
⑧ API 端點,AI 摘要,POST,POST /ai/summarize,body: { conversationId }；Modal 開啟時非同步呼叫,
⑧ API 端點,取得可指派客服列表,GET,GET /agents?isActive=true,取得所有在線客服及其負責案件數,
⑧ API 端點,執行升人工,PATCH,PATCH /conversations/:id/handoff,"body: { assignTo?: agentId, handoffMessage: string }",主要操作 API
⑧ API 端點,WebSocket 推播,WS,conversation.updated,升人工成功後由後端推送；前端收到更新 status 與 UI,
