區塊,欄位,類型,DB / API 來源,值 / 規則,備註
⑥ 右側面板 — CSAT 評分,回覆時間,datetime,case.csatRespondedAt,格式 MM-DD HH:MM；null 時不顯示,來自 cases.csat_responded_at
⑥ 右側面板 — CSAT 評分,文字回饋,string,case.csatComment,客戶填寫的文字回饋；null 或空字串時顯示「（無）」,來自 cases.csat_comment
⑥ 右側面板 — CSAT 評分,低分警告,boolean,case.csatScore <= tenant.settings.csatLowScoreThreshold,分數低於閾值（預設 ≤2）時顯示橘色警告圖示,提示 Supervisor 關注
⑦ 右側面板 — 聯繫人資訊,頭像,string,contact.avatarUrl,同進行中畫面規則,
⑦ 右側面板 — 聯繫人資訊,聯繫人名稱,string,contact.displayName,點擊跳轉 /contacts/:id,
⑦ 右側面板 — 聯繫人資訊,渠道,string,conversation.channelType,本次對話渠道,
⑦ 右側面板 — 聯繫人資訊,電話,string?,contact.phone,nullable；有值才顯示,
⑦ 右側面板 — 聯繫人資訊,歷史案件數,integer,GET /contacts/:id/cases?count=true,顯示「歷史案件：N 件」,含本次關閉的案件
⑧ CSAT 系統行為,CSAT 發送時機,rule,BullMQ Worker,case.status → RESOLVED 後，延遲 csatDelayMinutes（預設 30 分）發送 CSAT 訊息,由後端 Worker 處理，前端只顯示結果
⑧ CSAT 系統行為,CSAT 訊息格式,enum,conversation.channelType,LINE → Flex Message 星星評分卡；FB / WebChat → Quick Reply 5 個按鈕,Channel Plugin 負責格式轉換
⑧ CSAT 系統行為,Postback 資料格式,string,Channel Plugin Postback,格式「csat:{score}:{caseId}」；由 Channel Plugin 解析後呼叫 caseService.recordCsat,前端不處理，由後端 Webhook 接收
⑧ CSAT 系統行為,低分通知,action,Notification Service,csatScore <= csatLowScoreThreshold 時通知 Supervisor；csatLowScoreNotifyAgent=true 時也通知負責 Agent,
⑧ CSAT 系統行為,自動關閉,rule,BullMQ Worker,客戶 csatAutoCloseHours（預設 72 小時）未回覆 → case.status → CLOSED；csatScore 維持 null,
⑧ CSAT 系統行為,好評 Automation,rule,AutomationRule Engine,csatScore >= 4 可觸發 Automation（如送積點 / 推薦優惠）；需在自動化模組設定,非預設行為，需另行設定
⑨ API 端點,取得已關閉對話列表,GET,GET /conversations?status=CLOSED&after=&before=,支援時間範圍篩選,
⑨ API 端點,取得訊息列表,GET,GET /conversations/:id/messages,包含 CSAT 系統訊息與客戶評分 postback,
⑨ API 端點,取得案件詳情,GET,GET /cases/:id,取得 csatScore / csatComment / csatRespondedAt / closedAt,右側面板資料來源
⑨ API 端點,重新開啟對話,PATCH,PATCH /conversations/:id,body: { status: 'ACTIVE' },需 Agent 或 Admin 權限
⑨ API 端點,記錄 CSAT（後端）,internal,"caseService.recordCsat(caseId, score)",由 Channel Plugin Postback handler 呼叫；前端不直接呼叫,寫入 cases.csat_score / csat_responded_at
⑨ API 端點,WebSocket 推播,WS,conversation.updated / case.updated,CSAT 收到後端更新 case.csatScore；WS 推播至前端即時顯示評分,
